gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
4926309339	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/236066557	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris		SPECIES	Panthera tigris (Linnaeus, 1758)	Panthera tigris		IN		Uttarakhand	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	29.734195	78.583812	29458.0						2023-09-06T10:31:08	6	9	2023	5219416	5219416	HUMAN_OBSERVATION	iNaturalist	Observations	236066557		Manav	2024-08-16T11:52:44	CC_BY_NC_4_0	Manav	Manav			2024-08-29T05:41:34.529Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4926056602	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/236065786	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris		SPECIES	Panthera tigris (Linnaeus, 1758)	Panthera tigris		IN		Uttarakhand	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	29.700184	78.425719	29458.0						2023-09-07T11:12:13	7	9	2023	5219416	5219416	HUMAN_OBSERVATION	iNaturalist	Observations	236065786		Manav	2024-08-16T11:46:55	CC_BY_NC_4_0	Manav	Manav			2024-08-29T05:41:27.926Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4908758130	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/227511162	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	tigris	SUBSPECIES	Panthera tigris tigris	Panthera tigris tigris		IN		Uttarakhand	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	30.12285	78.35284	29407.0						2023-09-01T08:36:15	1	9	2023	7059276	5219416	HUMAN_OBSERVATION	iNaturalist	Observations	227511162		Cyan Fox	2024-07-16T09:24:26	CC_BY_NC_4_0	David Phinehas	David Phinehas			2024-08-29T06:18:07.509Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4901747602	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/206844558	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris		SPECIES	Panthera tigris (Linnaeus, 1758)	Panthera tigris		IN		Uttarakhand	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	29.556724	79.064665	29483.0						2022-04-05T16:49	5	4	2022	5219416	5219416	HUMAN_OBSERVATION	iNaturalist	Observations	206844558		Darrell Parsons	2024-04-12T21:16:35	CC_BY_NC_4_0	Darrell Parsons	Darrell Parsons			2024-08-29T05:34:24.549Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4901689794	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/151389499	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	tigris	SUBSPECIES	Panthera tigris tigris	Panthera tigris tigris		IN		Madhya Pradesh	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	23.739201	81.068834	30154.0						2020-02-03T18:29	3	2	2020	7059276	5219416	HUMAN_OBSERVATION	iNaturalist	Observations	151389499		Gabi Rusu	2023-03-17T14:23:52	CC_BY_4_0	Gabi Rusu	Gabi Rusu			2024-08-29T05:19:48.132Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4901479308	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/213831653	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	tigris	SUBSPECIES	Panthera tigris tigris	Panthera tigris tigris		IN		Madhya Pradesh	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	24.69638	79.838351	30047.0						2023-12-05T08:37	5	12	2023	7059276	5219416	HUMAN_OBSERVATION	iNaturalist	Observations	213831653		Brian Long	2024-05-05T22:46:43	CC_BY_NC_4_0	Brian Long	Brian Long			2024-08-29T05:35:58.807Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4901425774	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/223728273	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	tigris	SUBSPECIES	Panthera tigris tigris	Panthera tigris tigris		IN		Madhya Pradesh	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	22.367036	80.54002	30298.0						2023-12-02T07:26	2	12	2023	7059276	5219416	HUMAN_OBSERVATION	iNaturalist	Observations	223728273		midnightc	2024-06-19T12:24:19	CC_BY_NC_4_0	Roman Prokhorov	Roman Prokhorov			2024-08-29T05:41:22.234Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4901324046	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/185260192	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris		SPECIES	Panthera tigris (Linnaeus, 1758)	Panthera tigris		IN		Rajasthan	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	25.985524	76.439441	29913.0						2023-09-22T16:49	22	9	2023	5219416	5219416	HUMAN_OBSERVATION	iNaturalist	Observations	185260192		Navin Sasikumar	2023-09-28T10:54:55	CC_BY_4_0	Navin Sasikumar	Navin Sasikumar			2024-08-29T05:28:09.831Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4901290508	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/224179201	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	tigris	SUBSPECIES	Panthera tigris tigris	Panthera tigris tigris		IN		Rajasthan	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	27.221938	76.55122	29751.0						2023-12-14T13:10	14	12	2023	7059276	5219416	HUMAN_OBSERVATION	iNaturalist	Observations	224179201		Sydney Clark	2024-06-21T13:59:20	CC_BY_NC_4_0	Franck Curk	Franck Curk			2024-08-29T06:18:05.445Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4901074494	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/171697812	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	tigris	SUBSPECIES	Panthera tigris tigris	Panthera tigris tigris		IN		Karnataka	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	11.92246	77.172027	31115.0						2023-06-04T17:23:40	4	6	2023	7059276	5219416	HUMAN_OBSERVATION	iNaturalist	Observations	171697812		Evan	2023-07-08T07:21:57	CC_BY_NC_4_0	Evan	Evan			2024-08-29T05:27:06.997Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4891717742	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/222082649	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	tigris	SUBSPECIES	Panthera tigris tigris	Panthera tigris tigris		IN		Karnataka	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	11.916774	76.333886	31115.0						2023-03-14T13:42	14	3	2023	7059276	5219416	HUMAN_OBSERVATION	iNaturalist	Observations	222082649		Tiffany Charles	2024-06-11T18:33:35	CC_BY_NC_4_0	kovacs-jc	kovacs-jc			2024-08-29T06:18:45.301Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4879747146	f6a1c126-1719-4a8f-be6a-299b389ce86a	urn:ncf:arp:mammals:uuid:71bd5278-69d6-44fb-a427-d62fd22179d2:190	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris		SPECIES	Panthera tigris (Linnaeus, 1758)	Panthera tigris		IN	Valparai Plateau and Anamalai Tiger Reserve	Tamil Nadu	PRESENT	1	038a1133-81e2-42e8-a4dd-b5ac246eb082	10.335628	76.963406	1500.0						2020-05-17	17	5	2020	5219416	5219416	HUMAN_OBSERVATION	NCF-India						CC_BY_4_0		Srinivasan Kasinathan			2024-06-17T08:13:23.768Z		COORDINATE_ROUNDED
4879746801	f6a1c126-1719-4a8f-be6a-299b389ce86a	urn:ncf:arp:mammals:uuid:852682e1-0cac-4f7c-831f-e1cf7247a088:523	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris		SPECIES	Panthera tigris (Linnaeus, 1758)	Panthera tigris		IN	Valparai Plateau and Anamalai Tiger Reserve	Tamil Nadu	PRESENT	1	038a1133-81e2-42e8-a4dd-b5ac246eb082	10.376316	76.993157	2563.0						2021-03-15	15	3	2021	5219416	5219416	HUMAN_OBSERVATION	NCF-India						CC_BY_4_0		Srinivasan Kasinathan			2024-06-17T08:13:22.554Z	StillImage	COORDINATE_ROUNDED
4875485859	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/164971710	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris		SPECIES	Panthera tigris (Linnaeus, 1758)	Panthera tigris		IN		Uttar Pradesh	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	28.219595	81.072775	29631.0						2023-06-01T07:18	1	6	2023	5219416	5219416	HUMAN_OBSERVATION	iNaturalist	Observations	164971710		Vaibhav Dwivedi	2023-06-01T13:31:45	CC_BY_NC_4_0	Vaibhav Dwivedi	Vaibhav Dwivedi			2024-08-29T06:08:22.664Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4875162974	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/220234862	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	tigris	SUBSPECIES	Panthera tigris tigris	Panthera tigris tigris		IN		Maharashtra	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	20.305678	79.381126	30490.0						2023-11-05T11:28	5	11	2023	7059276	5219416	HUMAN_OBSERVATION	iNaturalist	Observations	220234862		锎钔锕	2024-06-03T15:14:50	CC_BY_NC_4_0	sanjeevshevade	sanjeevshevade			2024-08-29T06:38:47.293Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4875084972	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/211749324	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris		SPECIES	Panthera tigris (Linnaeus, 1758)	Panthera tigris		IN		Madhya Pradesh	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	22.278752	80.739355	30298.0						2023-10-31T16:40:46	31	10	2023	5219416	5219416	HUMAN_OBSERVATION	iNaturalist	Observations	211749324				CC_BY_NC_4_0	metalquip	metalquip			2024-08-29T05:34:55.447Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4874982814	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/208413992	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	tigris	SUBSPECIES	Panthera tigris tigris	Panthera tigris tigris		IN		Uttarakhand	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	29.525043	79.046108	29483.0						2019-05-30T06:30:22	30	5	2019	7059276	5219416	HUMAN_OBSERVATION	iNaturalist	Observations	208413992		Pradyut B	2024-04-21T03:29:25	CC_BY_NC_4_0	Pradyut B	Pradyut B			2024-08-29T05:41:38.913Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4872630747	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/218304445	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	tigris	SUBSPECIES	Panthera tigris tigris	Panthera tigris tigris		IN		Maharashtra	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	20.257634	79.250187	30490.0						2020-10-22T17:12	22	10	2020	7059276	5219416	HUMAN_OBSERVATION	iNaturalist	Observations	218304445		Michal Sloviak	2024-05-26T06:34:49	CC_BY_NC_4_0	Rujuta Vinod	Rujuta Vinod			2024-08-29T06:18:47.655Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4872209921	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/218304465	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	tigris	SUBSPECIES	Panthera tigris tigris	Panthera tigris tigris		IN		Maharashtra	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	20.318996	79.221105	30490.0						2020-10-23T17:48	23	10	2020	7059276	5219416	HUMAN_OBSERVATION	iNaturalist	Observations	218304465		Michal Sloviak	2024-05-26T06:33:27	CC_BY_NC_4_0	Rujuta Vinod	Rujuta Vinod			2024-08-29T05:43:13.197Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4872123876	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/218987077	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	tigris	SUBSPECIES	Panthera tigris tigris	Panthera tigris tigris		IN		Rajasthan	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	25.84883	76.458121	29913.0						2023-01-24T04:36	24	1	2023	7059276	5219416	HUMAN_OBSERVATION	iNaturalist	Observations	218987077		Luca Berardi	2024-05-29T09:06:48	CC_BY_NC_4_0	danawilson171	danawilson171			2024-08-29T06:16:51.370Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4866469793	c6b86c40-ff71-4e5e-902c-111f400d0d56	https://indiabiodiversity.org/observation/show/17988287	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris		SPECIES	Panthera tigris (Linnaeus, 1758)	Panthera tigris (Linnaeus, 1758)		IN			PRESENT		62431bdf-fa0c-452b-afce-be14884a47ff	25.1971	75.7913							2023-07-29	29	7	2023	5219416	5219416	HUMAN_OBSERVATION			17988287		Sayak Dolai;SONU KUMAR;Thomas Vattakaven		CC_BY_4_0		SONU KUMAR			2024-08-31T05:14:54.103Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;IDENTIFIED_DATE_INVALID
4866466363	c6b86c40-ff71-4e5e-902c-111f400d0d56	https://indiabiodiversity.org/observation/show/18487141	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris		SPECIES	Panthera tigris (Linnaeus, 1758)	Panthera tigris (Linnaeus, 1758)		IN			PRESENT		62431bdf-fa0c-452b-afce-be14884a47ff	23.259933	77.412615							2021-05-26	26	5	2021	5219416	5219416	HUMAN_OBSERVATION			18487141		Bikash Kumar Sahoo;DP Srivastava		CC_BY_4_0		DP Srivastava			2024-08-31T05:15:05.179Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;IDENTIFIED_DATE_INVALID
4866466022	c6b86c40-ff71-4e5e-902c-111f400d0d56	https://indiabiodiversity.org/observation/show/18330010	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris		SPECIES	Panthera tigris (Linnaeus, 1758)	Panthera tigris (Linnaeus, 1758)		IN			PRESENT		62431bdf-fa0c-452b-afce-be14884a47ff	20.3944	85.8199							2023-12-02	2	12	2023	5219416	5219416	HUMAN_OBSERVATION			18330010		ARNAB KUMAR SAMANTA;Pravin Kawale;Sayak Dolai;SONU KUMAR		CC_BY_4_0		Pravin Kawale			2024-08-31T05:15:15.721Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_DERIVED_FROM_COORDINATES;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED;IDENTIFIED_DATE_INVALID
4847204991	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/206844588	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	tigris	SUBSPECIES	Panthera tigris tigris	Panthera tigris tigris		IN		Uttarakhand	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	29.466671	79.175334	29483.0						2022-04-06T18:28	6	4	2022	7059276	5219416	HUMAN_OBSERVATION	iNaturalist	Observations	206844588		🪶🐾🍀Nandan Sreejith🦌🍄🌍	2024-04-13T04:07:24	CC_BY_NC_4_0	Darrell Parsons	Darrell Parsons			2024-08-29T06:17:02.783Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4847132552	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/145082896	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	tigris	SUBSPECIES	Panthera tigris tigris	Panthera tigris tigris		IN		Rajasthan	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	26.077122	76.404356	29891.0						2022-05-01	1	5	2022	7059276	5219416	HUMAN_OBSERVATION	iNaturalist	Observations	145082896		Sri Harsha K.M / ஸ்ரீ ஹர்ஷா / ಶ್ರೀ ಹರ್ಷ	2022-12-26T02:49:12	CC0_1_0	Sri Harsha K.M / ஸ்ரீ ஹர்ஷா / ಶ್ರೀ ಹರ್ಷ	Sri Harsha K.M / ஸ்ரீ ஹர்ஷா / ಶ್ರೀ ಹರ್ಷ			2024-08-29T05:17:30.022Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4847033786	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/145053762	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	tigris	SUBSPECIES	Panthera tigris tigris	Panthera tigris tigris		IN		Rajasthan	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	26.160027	76.425721	29891.0						2022-05-01	1	5	2022	7059276	5219416	HUMAN_OBSERVATION	iNaturalist	Observations	145053762		Sri Harsha K.M / ஸ்ரீ ஹர்ஷா / ಶ್ರೀ ಹರ್ಷ	2022-12-25T17:29:56	CC0_1_0	Sri Harsha K.M / ஸ்ரீ ஹர்ஷா / ಶ್ರೀ ಹರ್ಷ	Sri Harsha K.M / ஸ்ரீ ஹர்ஷா / ಶ್ರೀ ಹರ್ಷ			2024-08-29T06:05:28.726Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4846868515	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/145082743	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	tigris	SUBSPECIES	Panthera tigris tigris	Panthera tigris tigris		IN		Rajasthan	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	26.031089	76.510461	29891.0						2022-05-01	1	5	2022	7059276	5219416	HUMAN_OBSERVATION	iNaturalist	Observations	145082743		Sri Harsha K.M / ஸ்ரீ ஹர்ஷா / ಶ್ರೀ ಹರ್ಷ	2022-12-26T02:46:13	CC0_1_0	Sri Harsha K.M / ஸ்ரீ ஹர்ஷா / ಶ್ರೀ ಹರ್ಷ	Sri Harsha K.M / ஸ்ரீ ஹர்ஷா / ಶ್ರೀ ಹರ್ಷ			2024-08-29T05:21:13.715Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4846780886	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/145054100	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	tigris	SUBSPECIES	Panthera tigris tigris	Panthera tigris tigris		IN		Rajasthan	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	26.149011	76.53	29891.0						2022-05-01	1	5	2022	7059276	5219416	HUMAN_OBSERVATION	iNaturalist	Observations	145054100		Sri Harsha K.M / ஸ்ரீ ஹர்ஷா / ಶ್ರೀ ಹರ್ಷ	2022-12-25T17:37:40	CC0_1_0	Sri Harsha K.M / ஸ்ரீ ஹர்ஷா / ಶ್ರೀ ಹರ್ಷ	Sri Harsha K.M / ஸ்ரீ ஹர்ஷா / ಶ್ರೀ ಹರ್ಷ			2024-08-29T05:21:16.993Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4607238105	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/193704596	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	tigris	SUBSPECIES	Panthera tigris tigris	Panthera tigris tigris		IN		Uttarakhand	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	29.445199	79.190313	29483.0						2023-12-11T07:35	11	12	2023	7059276	5219416	HUMAN_OBSERVATION	iNaturalist	Observations	193704596		Bodo Nuñez Oberg	2023-12-12T03:55:08	CC_BY_NC_4_0	Bodo Nuñez Oberg	Bodo Nuñez Oberg			2024-08-29T06:13:54.505Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4607196915	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/205945500	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	tigris	SUBSPECIES	Panthera tigris tigris	Panthera tigris tigris		IN		Karnataka	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	11.70203	76.439033	31126.0						2023-10-16T03:18	16	10	2023	7059276	5219416	HUMAN_OBSERVATION	iNaturalist	Observations	205945500		🪶🐾🍀Nandan Sreejith🦌🍄🌍	2024-04-08T11:03:24	CC_BY_NC_4_0	Brian Long	Brian Long			2024-08-29T06:17:03.702Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4600181998	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/204016037	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	tigris	SUBSPECIES	Panthera tigris tigris	Panthera tigris tigris		IN		Maharashtra	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	20.209116	79.352332	30490.0						2023-11-27T15:05	27	11	2023	7059276	5219416	HUMAN_OBSERVATION	iNaturalist	Observations	204016037		Tushar Agarwal	2024-03-26T13:50:31	CC_BY_NC_4_0	Tushar Agarwal	Tushar Agarwal			2024-08-29T05:34:13.326Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4600128011	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/203996559	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	tigris	SUBSPECIES	Panthera tigris tigris	Panthera tigris tigris		IN		Maharashtra	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	20.963009	79.546756	30434.0						2023-11-25T14:13	25	11	2023	7059276	5219416	HUMAN_OBSERVATION	iNaturalist	Observations	203996559		🪶🐾🍀Nandan Sreejith🦌🍄🌍	2024-03-26T13:20:54	CC_BY_NC_4_0	Tushar Agarwal	Tushar Agarwal			2024-08-29T05:34:31.838Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4600124959	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/204016861	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	tigris	SUBSPECIES	Panthera tigris tigris	Panthera tigris tigris		IN		Maharashtra	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	20.205989	79.358461	30490.0						2023-11-28T06:32	28	11	2023	7059276	5219416	HUMAN_OBSERVATION	iNaturalist	Observations	204016861		Tushar Agarwal	2024-03-26T14:01:14	CC_BY_NC_4_0	Tushar Agarwal	Tushar Agarwal			2024-08-29T05:34:37.383Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4600120078	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/204016033	Animalia	Chordata	Mammalia	Carnivora	Felidae	Panthera	Panthera tigris	tigris	SUBSPECIES	Panthera tigris tigris	Panthera tigris tigris		IN		Maharashtra	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	20.212102	79.211136	30490.0						2023-11-27T17:24	27	11	2023	7059276	5219416	HUMAN_OBSERVATION	iNaturalist	Observations	204016033		Tushar Agarwal	2024-03-26T13:50:30	CC_BY_NC_4_0	Tushar Agarwal	Tushar Agarwal			2024-08-29T05:34:09.889Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
